word,valence
generous,1
love,1
very positive,1
magnificent,1
happily,1
enjoyable,1
happy,1
extremely positive,0.993
feelgood,0.99
happiest,0.99
joyful,0.99
happier,0.99
brilliance,0.99
passionate,0.99
greatness,0.99
brotherhood,0.99
cheerful,0.99
sweetie,0.99
joys,0.981
smiling,0.981
friendliness,0.981
laugh,0.98
romance,0.98
perfect,0.98
awesome,0.98
joy,0.98
hugs,0.98
superb,0.98
optimistic,0.979
fabulous,0.979
fascinating,0.979
feast,0.979
lovinglife,0.979
merry,0.979
prestigious,0.979
honeymoon,0.979
wonderful,0.971
truth,0.971
excellent,0.97
happynewyear,0.969
positively,0.969
triumph,0.969
admiration,0.969
goodness,0.969
beloved,0.969
freedom,0.969
cheerfulness,0.969
extraordinary,0.969
adventurous,0.969
adorable,0.969
birthday,0.969
wonderfully,0.969
fantastic,0.969
trustworthy,0.969
lovemaking,0.969
harmoniously,0.969
wellness,0.969
thankful,0.969
marvelously,0.968
family,0.968
greatly positive,0.967
kiss,0.967
inspired,0.967
memories,0.963
honorable,0.963
liking,0.963
goodnews,0.961
marvel,0.961
goodday,0.961
happiness,0.96
winner,0.96
amusing,0.96
congratulations,0.96
lucky,0.96
satisfied,0.959
laughter,0.959
confidence,0.959
jolly,0.959
positivity,0.959
satisfactory,0.959
success,0.959
sweetheart,0.959
positive,0.959
congratulatory,0.959
fiancee,0.959
tasty,0.959
sweetest,0.959
glorious,0.959
efficient,0.959
enjoy,0.959
christmas,0.959
loveliness,0.959
scrumptious,0.959
talent,0.959
motivating,0.958
generosity,0.958
grateful,0.958
friendship,0.958
rewarding,0.958
thank,0.958
celebrations,0.958
productivity,0.958
sky,0.958
humorist,0.958
joyous,0.958
riches,0.958
great,0.958
abundant,0.958
excellence,0.958
awards,0.958
enlightened,0.956
winning,0.955
decorate,0.954
encouraged,0.953
applause,0.953
favorable,0.952
respectful,0.951
praised,0.95
goodies,0.95
exciting,0.95
jackpot,0.95
cheery,0.949
triumphant,0.949
smiled,0.949
optimism,0.949
tenderness,0.949
lovee,0.949
happyheart,0.949
sohappy,0.949
delight,0.949
affectionate,0.949
embrace,0.949
illuminating,0.949
guarantee,0.949
winnings,0.949
successful,0.949
harmony,0.949
innovation,0.949
peacetime,0.949
hearts,0.948
graciously,0.948
engaging,0.948
loving,0.948
holiday,0.948
merriment,0.948
pleasurable,0.948
cheers,0.948
reward,0.948
party,0.948
lovable,0.948
majestic,0.948
lovelovelove,0.948
marvelous,0.948
thrive,0.948
prosperous,0.948
congratulation,0.948
glory,0.948
luxurious,0.947
trophy,0.947
hopeful,0.947
spectacular,0.947
superman,0.945
energy,0.944
amused,0.942
glowing,0.94
feelinggood,0.94
sweetened,0.94
glorify,0.94
positiveenergy,0.94
rosy,0.94
hero,0.94
celebration,0.939
great surprise,0.939
familytime,0.939
flourish,0.939
wonder,0.939
