,Unnamed: 0,gccsa_code_2021,population,percnt_labforc_prticipation_p,percent_unem_loyment_p,median_tot_hhd_inc_weekly,median_age_persons,median_rent_weekly,median_tot_fam_inc_weekly,average_household_size,median_tot_prsnl_inc_weekly,percentage_not_married,percentage_higher_education
0,0,1GSYD,3947759,60.0,5.1,2077,37,470,2374,2.7,881,42.41836951039818,36.05480983008334
1,1,1RNSW,2069770,56.4,4.6,1434,43,330,1852,2.4,722,41.45219033998947,19.989564057842177
2,2,2GMEL,3721666,64.1,5.3,1901,37,390,2243,2.6,841,42.5124124518428,35.46486976531478
3,3,2RVIC,1156437,57.4,4.1,1386,43,285,1808,2.4,713,40.87823201782717,20.4523030653637
4,4,3GBRI,1870018,64.5,5.5,1849,36,380,2175,2.6,842,42.19863124312173,29.454903642638737
5,5,3RQLD,1867231,59.1,5.2,1507,41,345,1868,2.5,746,41.09737895311292,19.59029172073514
6,6,4GADE,1059061,61.7,5.5,1548,39,320,1988,2.5,762,43.36360228542077,28.15456333487873
7,7,4RSAU,283015,54.1,4.8,1190,47,220,1525,2.3,646,39.58518099747364,12.966097203328443
8,8,5GPER,1548581,65.2,5.3,1865,37,350,2259,2.6,859,40.81969235061001,29.35190345225726
9,9,5RWAU,347482,59.4,4.2,1597,40,265,2013,2.5,810,38.6066040830892,16.77295514587806
10,10,6GHOB,186383,61.6,6.2,1542,39,350,1920,2.4,776,43.8001319862863,32.14509907019417
11,11,6RTAS,229826,55.7,5.6,1225,45,250,1562,2.3,645,40.92661404714871,18.18027551277924
12,12,7GDAR,94611,69.7,4.0,2209,34,385,2485,2.6,1120,42.26464153216856,30.668738307384974
13,13,7RNTE,56539,50.7,8.9,1706,31,150,1407,3.1,539,48.86184757424079,17.70459328958772
