,full_name,country_code
0073b76548e5984f,"Sydney, New South Wales",AU
002891d33ed032d3,"Darwin, Northern Territory",AU
0ec0c4fcacbd0083,"Victoria, Australia",AU
0118c71c0ed41109,"Perth, Western Australia",AU
00637ebe39362fcb,"Nowra - Bomaderry, New South Wales",AU
01864a8a64df9dc4,"Melbourne, Victoria",AU
017453ae077eafd3,"Gold Coast, Queensland",AU
004ec16c62325149,"Brisbane, Queensland",AU
01a7d455340e14bd,"Kaniva, Victoria",AU
015346741ee6f782,"Bordertown, South Australia",AU
00463d42104867c4,"Bathurst, New South Wales",AU
01e4b0c84959d430,"Canberra, Australian Capital Territory",AU
01bebebe1652bdd2,"Doonan - Tinbeerwah, Queensland",AU
01e8a1a140ccdc5c,"Adelaide, South Australia",AU
0161be1b3f98d6c3,"Bogotá, D.C., Colombia",CO
00dfb61001cf129f,"Luddenham, New South Wales",AU
00f5fcca24e69fe7,"Central Coast, New South Wales",AU
265b933184e2b88a,"New South Wales, Australia",AU
7e347291be7bbab4,"Queensland, Australia",AU
015578f07f0f6e40,"Suffolk Park, New South Wales",AU
01e80a811bb8d971,"Nambour, Queensland",AU
00b9baa27f8d0e97,"Sale, Victoria",AU
00a515d443f09983,"Alice Springs, Northern Territory",AU
00f3587a6217c489,"Wodonga, Victoria",AU
0137d97334c5d635,"Braidwood, New South Wales",AU
015b4fd46f86ea04,"Mullumbimby, New South Wales",AU
01bb7bb607a9cd23,"Yungaburra, Queensland",AU
190244466eab0860,"Tasmania, Australia",AU
019e32e73d7d3282,"Hobart, Tasmania",AU
017ca0781fa1c378,"Newman, Western Australia",AU
00acc8145c47dda2,"St Georges Basin - Sanctuary Point, New South Wales",AU
0127118b04c8e411,"Victor Harbor - Goolwa, South Australia",AU
7d588036fe12e124,"Rome, Lazio",IT
000a281b07e61a5b,"Wahgunyah, Victoria",AU
01bd76d80f0324ea,"Sunbury, Victoria",AU
00c193191e794262,"Bundaberg, Queensland",AU
01552cf31a0d108e,"Geelong, Victoria",AU
0061933845bfd1ca,"Dunwich, Queensland",AU
4e3c0a60cb10372a,"South Australia, Australia",AU
00e8ac832ad00350,"Murray Bridge, South Australia",AU
016fd2661afdc4f3,"Torquay - Jan Juc, Victoria",AU
0013cae44d65aff9,"Townsville, Queensland",AU
0043b8db0b92dda3,"Mount Morgan, Queensland",AU
009b89410157afec,"Sunshine Coast, Queensland",AU
0180d6313aa616b2,"Wollongong, New South Wales",AU
0077e693247f71d8,"Ballarat, Victoria",AU
00fdc8497c0ca7b4,"Wagga Wagga, New South Wales",AU
00c46e9a5d80721f,"Mackay, Queensland",AU
00f8371932969af9,"Castlemaine, Victoria",AU
01cc83b303f0c068,"Newcastle, New South Wales",AU
066b94a60af1c21d,"Australian Capital Territory, Australia",AU
013236020befec85,"Lithgow, New South Wales",AU
00c262dc7a56fb4e,"Cairns, Queensland",AU
01ad00b47ff8f7b7,"New Norfolk, Tasmania",AU
019fc4484061ba07,"Lismore, New South Wales",AU
1b66f15d4efa136f,"Western Australia, Australia",AU
01dc11312a909502,"Melton, Victoria",AU
00c2279406373bd3,"Rushworth, Victoria",AU
008858bf3f83b001,"Wondai, Queensland",AU
006fbd951c6d06ca,"Queanbeyan, New South Wales",AU
0054460c38197706,"Mirboo North, Victoria",AU
01fbffb37cb1d57b,"Wangaratta, Victoria",AU
000fe1bf030ae450,"Broken Hill, New South Wales",AU
00488e101caf1a40,"Busselton, Western Australia",AU
01c26c284e0d3d6c,"Albany, Western Australia",AU
01b984d319b42814,"Ras Al Khaimah, United Arab Emirates",AE
00f8f3fa6b112d3e,"Hervey Bay, Queensland",AU
317fcc4b21a604d5,"New Delhi, India",IN
0000b48f4b738034,"Coober Pedy, South Australia",AU
0101bf141ba02253,"Bowral - Mittagong, New South Wales",AU
00a8b25e420adc94,"Portland (NSW), New South Wales",AU
00b53d0d29067ce0,"York, Western Australia",AU
0064261b68b40574,"Christchurch City, New Zealand",NZ
05f5a0d89e34b4f8,"Rangeville, Toowoomba",AU
0116fcf600926d4f,"Unayzah, Kingdom of Saudi Arabia",SA
01a70ec3689d6ca5,"Coraki, New South Wales",AU
5f55ccd2b14ae80b,"Coleraine, Victoria",AU
1da3f138f76523b7,"Condamine, Queensland",AU
