,Unnamed: 0,tokens,full_name,dof,year,month,date,hour,sentiment,text,h_score,label,emoji
6,6,"['does', 'depend', 'how', 'close', 'the', 'molar', 'the', 'sinus', 'had', 'back', 'molar', 'removed', 'and', 'just', 'had', 'membrane', 'tissue', 'left', 'covering', 'the', 'sinus', 'dentist', 'made', 'not', 'spit', 'out', 'just', 'drool', 'after', 'brushing', 'and', 'not', 'sneeze', 'for', 'weeks', 'but', 'you', 'must', 'open', 'mouth']","Victoria, Australia",3,2022,2,10,2,0.0384615384615384,"@ArtistAffame It does depend how close the molar is to the sinus

I had a back molar removed and just had a membrane of tissue left covering the sinus. Dentist made me not spit out just drool after brushing and DO NOT SNEEZE, for 3 weeks (but if you must, open mouth)",5.612631578947368,achievement,💯
7,7,"['you', 'may', 'also', 'need', 'further', 'investigation', 'treatment', 'this', 'mat', 'sign', 'fistula', 'whe', 'the', 'nose', 'and', 'the', 'mouth', 'your', 'dentist', 'will', 'through', 'all', 'this', 'best', 'luck']","Victoria, Australia",3,2022,2,10,2,0.15,"@MishMei @ArtistAffame @slandermepls You may also need further investigation +/- treatment,  as this mat be a sign of a fistula (a whe bw the nose and the mouth)
Your dentist will go through all of this. 

Best of luck!",5.545263157894737,achievement,💯
9,9,"['winks', 'overrated', 'stone', 'they', 'found', 'their', 'level', 'the', 'championship']","Sydney, New South Wales",3,2022,2,10,4,0.0,@rrrtttbbb8 Winks is overrated as we’re Livermore &amp; Huddlestone. They found their level. The Championship #offUgoWinks,5.613333333333333,achievement,💯
10,10,"['refr', 'significa', 'que', 'est', 'listo', 'plancharon', 'flux', 'para', 'pon', 'rselo', 'dice', 'otro', 'refr', 'que', 'las', 'personas', 'usan', 'mejor', 'gala', 'cuando', 'casan', 'sacan', 'dula', 'van', 'cajita', 'rectangular']","Melbourne, Victoria",3,2022,2,10,6,0.0,"@lisethreyes Es un refrán y significa que ya está listo...ya le plancharon  el Flux para ponérselo...
Dice otro refrán que las personas usan su mejor gala cuando se casan, sacan la cédula o van a la cajita rectangular ...👣🦋💜",5.7046153846153835,achievement,💯
14,14,"['entrando', 'estrat', 'gia', 'mas', 'acho', 'importante', 'gerar', 'uma', 'equival', 'ncia', 'entre', 'ladr', 'assassino', 'sobre', 'sal', 'rio', 'presidente', 'lula', 'tem', 'isso', 'bolsonaro', 'tamb', 'vai', 'ter']","Gold Coast, Queensland",3,2022,2,10,13,0.0,"@alec_schuartz @Fernando_Mureb Entrando a estratégia.

Mas acho importante não gerar uma equivalência entre um ladrão e um assassino.

Sobre o salário de ex presidente, o Lula já tem isso.
O Bolsonaro também vai ter.",5.82,achievement,💯
15,15,"['supostamente', 'sim', 'mas', 'muitos', 'tipos', 'morte', 'tiveram', 'uma', 'diminui', 'durante', 'governo', 'ent', 'ainda', 'que', 'para', 'pensar', 'que', 'desvio', 'verbas', 'podem', 'causar', 'mortes', 'tem', 'como', 'nomear', 'isso', 'meros', 'mostram', 'contr', 'rio', 'ser', 'contra', 'isolamento', 'vacina']","Gold Coast, Queensland",3,2022,2,10,13,0.0,"@ivanknoch @alec_schuartz @Fernando_Mureb Supostamente sim.
Mas muitos tipos de morte tiveram uma diminuição durante o governo Lula.
Então, ainda que de para pensar que desvio de verbas da saúde PODEM causar mortes, não tem como nomear isso.
E os números mostram o contrário.

Já ser contra isolamento e vacina dá.",5.767619047619048,achievement,💯
19,19,"['snowflakes', 'will', 'crawling', 'out', 'from', 'under', 'their', 'rocks', 'soon']","Sydney, New South Wales",3,2022,2,10,8,0.0,@Kev_COYS_ Snowflakes will be crawling out from under their rocks soon. #FuckemIsay.,5.76,achievement,💯
20,20,"['was', 'sitting', 'there', 'with', 'paper', 'and', 'pen', 'trying', 'find', 'word', 'that', 'fitted', 'took', 'ages', 'should', 'have', 'opened', 'scrabble', 'set']","Sydney, New South Wales",3,2022,2,10,1,0.0,"@j1o1h1n I was sitting there with paper and pen trying to find a word that fitted. It took ages.

 I should have opened my scrabble set.",5.6899999999999995,achievement,💯
31,31,"['beautiful', 'nature', 'too']","Gold Coast, Queensland",3,2022,2,10,21,0.4285714285714285,@Kickasskiwi1 He is a beautiful nature too.,5.62,achievement,💯
35,35,"['how', 'dare', 'she', 'like', 'the', 'skin', 'she']","Adelaide, South Australia",3,2022,2,10,1,0.2,@newscomauHQ How dare she like the skin she's in 🤣,5.92,leisure,🏄
36,36,"['tranqui', 'que', 'los', 'uribistas', 'calman', 'despu', 'marzo']","Bogotá, D.C., Colombia",3,2022,2,10,11,0.0,@MONYRODRIGUEZOF Tranqui que los uribistas se calman después de marzo,5.691428571428572,achievement,💯
44,44,"['tell', 'about']","Sydney, New South Wales",3,2022,2,10,2,0.0,@marquelawyers Tell me about,5.52,achievement,💯
46,46,"['self', 'interest', 'won']","Central Coast, New South Wales",3,2022,2,10,4,1.0,@marquelawyers Self interest won,5.92,achievement,💯
