"term","pleasure","arousal","dominance"
"abduction",31.292517,62.698413,39.569161
"abortion",39.68254,61.111111,52.040816
"absurd",48.29932,49.433107,53.628118
"abundance",74.716553,62.471655,65.759637
"abuse",20.408163,77.437642,41.836735
"acceptance",90.47619,61.22449,75.283447
"accident",23.24263,70.975057,42.630385
"ace",78.004535,62.358277,72.44898
"ache",27.891156,56.689342,40.136054
"achievement",89.455782,62.698413,74.376417
"activate",61.904762,55.102041,61.564626
"addict",28.117914,64.172336,42.176871
"addicted",28.45805,54.535147,39.229025
"admired",87.755102,69.274376,85.37415
"adorable",88.548753,58.049887,65.079365
"adult",73.582766,53.968254,65.192744
"advantage",78.798186,53.968254,72.108844
"adventure",86.1678,79.138322,73.24263
"affection",95.124717,70.408163,68.93424
"afraid",22.675737,75.623583,45.124717
"aggressive",57.823129,66.099773,63.378685
"agility",73.24263,54.988662,66.553288
"agony",27.55102,68.707483,45.578231
"agreement",80.272109,56.9161,70.521542
"air",71.882086,46.712018,57.823129
"alcoholic",32.199546,64.512472,50.453515
"alert",70.294785,77.664399,67.573696
"alien",63.492063,61.791383,52.60771
"alimony",44.78458,48.752834,52.494331
"alive",82.199546,62.358277,72.44898
"allergy",34.807256,52.60771,36.394558
"alley",50.793651,55.668934,45.351474
"alone",27.324263,54.761905,41.950113
"aloof",55.555556,48.526077,53.174603
"ambition",79.818594,63.605442,78.571429
"ambulance",28.004535,83.106576,36.507937
"angel",85.37415,54.761905,56.349206
"anger",26.530612,86.507937,62.358277
"angry",32.312925,81.292517,62.92517
"anguished",24.036281,60.430839,39.115646
"ankle",59.750567,47.165533,54.081633
"annoy",31.06576,73.582766,57.709751
"answer",75.170068,61.337868,66.326531
"anxious",54.535147,78.45805,60.430839
"applause",85.034014,65.759637,73.469388
"appliance",57.823129,45.918367,57.256236
"arm",60.544218,40.702948,57.482993
"army",53.514739,57.029478,57.029478
"aroused",90.362812,75.170068,69.614512
"arrogant",41.836735,64.058957,58.276644
"art",75.736961,55.102041,60.090703
"assassin",35.034014,71.201814,49.092971
"assault",23.015873,85.147392,44.671202
"astonished",74.376417,74.603175,58.503401
"astronaut",75.510204,59.863946,58.956916
"athletics",74.943311,69.160998,69.387755
"autumn",71.428571,51.133787,58.390023
"avalanche",37.301587,62.811791,40.929705
"avenue",62.358277,46.712018,61.22449
"awed",75.963719,65.079365,60.090703
"baby",93.197279,62.698413,56.689342
"bake",69.954649,57.823129,62.244898
"bandage",51.473923,44.217687,51.247166
"bankrupt",22.675737,70.408163,37.07483
"banner",61.22449,43.424036,54.421769
"bar",72.789116,56.689342,62.018141
"barrel",57.256236,38.095238,55.442177
"basket",61.791383,41.156463,65.306122
"bastard",38.095238,68.820862,47.278912
"bath",83.106576,47.165533,72.675737
"bathroom",62.92517,43.99093,64.058957
"bathtub",75.85034,49.433107,65.306122
"beach",91.043084,62.698413,61.678005
"beast",47.959184,63.151927,55.442177
"beautiful",86.1678,69.954649,71.315193
"beauty",88.662132,56.122449,62.698413
"bed",85.147392,40.929705,78.004535
"bees",36.281179,73.809524,47.165533
"beggar",36.507937,55.668934,46.371882
"bench",52.267574,40.702948,53.061224
"bereavement",51.814059,47.619048,49.092971
"betray",19.047619,82.086168,55.782313
"beverage",77.437642,59.070295,63.8322
"bird",82.426304,35.941043,50.113379
"birthday",88.888889,75.736961,66.780045
