life_expectancy_p_2011_13, gcc_code16, life_expectancy_p_2017_19, life_expectancy_p_2010_12, life_expectancy_p_2013_15, life_expectancy_p_2015_17, life_expectancy_p_2012_14, life_expectancy_p_2016_18, life_expectancy_p_2014_16
81.0,"1RNSW",81.5,81.1,81.2,81.1,81.1,81.5,81.1
83.2,"1GSYD",84.2,83.1,83.5,83.8,83.4,84.1,83.6
81.6,"2RVIC",81.7,81.3,81.4,81.5,81.7,82.1,81.3
83.5,"2GMEL",84.3,83.3,83.7,84.0,83.7,84.5,83.7
82.2,"3GBRI",83.3,82.2,82.8,82.9,82.6,83.2,83.0
81.7,"3RQLD",82.2,81.4,82.0,82.0,81.8,82.2,82.0
81.3,"4RSAU",81.6,81.3,81.6,81.5,81.4,81.7,81.6
82.4,"4GADE",83.0,82.2,82.7,82.8,82.5,83.1,82.8
83.2,"5GPER",83.9,83.1,83.3,83.4,83.3,83.7,83.4
81.4,"5RWAU",81.7,81.1,81.6,81.2,81.6,81.2,81.1
80.8,"6GHOB",82.0,80.8,81.1,81.3,80.6,81.7,81.3
80.3,"6RTAS",81.4,80.5,80.4,80.4,80.5,80.9,80.4
73.5,"7RNTE",74.3,73.2,73.8,74.2,73.9,74.5,74.0
80.9,"7GDAR",82.2,81.1,80.4,81.9,81.1,82.5,81.1
83.3,"8ACTE",83.5,83.1,83.2,83.1,83.2,83.2,83.2
