median_aud_2017_18, mean_aud_2016_17, median_aud_2011_12, median_age_of_earners_years_2014_15, gccsa_code, median_aud_2014_15, mean_aud_2015_16, median_age_of_earners_years_2013_14, median_age_of_earners_years_2012_13, median_age_of_earners_years_2011_12, median_aud_2012_13, mean_aud_2014_15, median_aud_2013_14, median_age_of_earners_years_2017_18, median_aud_2015_16, mean_aud_2013_14, median_age_of_earners_years_2016_17, mean_aud_2017_18, median_aud_2016_17, median_age_of_earners_years_2015_16, mean_aud_2011_12, mean_aud_2012_13
267.0,7127.0,436.0,49.0,"1RNSW",403.0,10033.0,49.0,49.0,49.0,430.0,10112.0,445.0,49.0,331.0,10629.0,49.0,7655.0,274.0,49.0,9519.0,9918.0
244.0,9856.0,1047.0,43.0,"1GSYD",866.0,5774.0,44.0,44.0,44.0,884.0,6715.0,999.0,43.0,315.0,7941.0,43.0,10402.0,278.0,43.0,7892.0,9202.0
245.0,8001.0,523.0,49.0,"2RVIC",343.0,7927.0,49.0,49.0,49.0,464.0,7996.0,402.0,49.0,280.0,8063.0,49.0,8513.0,258.0,49.0,7873.0,7917.0
209.0,10251.0,491.0,43.0,"2GMEL",327.0,10164.0,43.0,43.0,43.0,427.0,10220.0,381.0,43.0,271.0,10550.0,43.0,10795.0,239.0,43.0,9989.0,10075.0
128.0,7806.0,272.0,43.0,"3GBRI",188.0,7646.0,44.0,44.0,43.0,241.0,7743.0,218.0,44.0,158.0,7822.0,43.0,8114.0,140.0,43.0,6962.0,7422.0
143.0,7809.0,299.0,46.0,"3RQLD",194.0,7486.0,47.0,47.0,46.0,266.0,7496.0,231.0,47.0,162.0,7804.0,47.0,8461.0,148.0,46.0,7277.0,7757.0
224.0,7430.0,464.0,50.0,"4RSAU",320.0,7235.0,50.0,50.0,50.0,400.0,7391.0,367.0,51.0,262.0,7407.0,50.0,7865.0,225.0,50.0,6986.0,6983.0
194.0,8854.0,400.0,46.0,"4GADE",280.0,8793.0,46.0,46.0,46.0,339.0,8706.0,313.0,46.0,245.0,8827.0,46.0,9328.0,210.0,46.0,8234.0,8458.0
132.0,9621.0,341.0,44.0,"5GPER",227.0,9508.0,44.0,44.0,44.0,307.0,10120.0,274.0,45.0,177.0,10773.0,45.0,10005.0,149.0,44.0,9860.0,10444.0
142.0,7641.0,343.0,46.0,"5RWAU",226.0,7594.0,46.0,46.0,46.0,308.0,8259.0,264.0,48.0,171.0,8697.0,47.0,8031.0,148.0,46.0,8066.0,8459.0
216.0,7032.0,357.0,48.0,"6GHOB",260.0,7000.0,48.0,48.0,48.0,303.0,7067.0,285.0,48.0,228.0,6975.0,48.0,7595.0,223.0,48.0,6652.0,6688.0
195.0,6453.0,356.0,50.0,"6RTAS",239.0,6347.0,50.0,49.0,49.0,304.0,6313.0,262.0,50.0,206.0,6396.0,50.0,6838.0,197.0,50.0,6098.0,6236.0
55.0,3106.0,114.0,43.0,"7RNTE",71.0,2732.0,43.0,43.0,43.0,101.0,3283.0,90.0,43.0,51.0,4187.0,43.0,3410.0,49.0,42.0,3057.0,3618.0
43.0,3879.0,113.0,40.0,"7GDAR",72.0,4305.0,41.0,41.0,41.0,102.0,4427.0,92.0,41.0,54.0,4969.0,40.0,4263.0,45.0,40.0,4272.0,5099.0
173.0,5486.0,299.0,44.0,"8ACTE",266.0,5496.0,44.0,44.0,44.0,292.0,5582.0,284.0,44.0,222.0,5809.0,44.0,5805.0,188.0,44.0,5104.0,5559.0
