content,created_at,hashtags,language
"<p>De 12 trucs waarmee fossiele industriëlen klimaatactie vertragen, met voorbeelden uit de realiteit ernaast. </p><p><a href=""https://mastodon.social/tags/StopFossieleSubsidies"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>StopFossieleSubsidies</span></a> <a href=""https://mastodon.social/tags/Klimaatontwrichting"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Klimaatontwrichting</span></a></p>",2023-05-09 10:50:58+00:00,"['stopfossielesubsidies', 'klimaatontwrichting']",nl
"<p>RT from BBC Breaking News (@BBCBreaking)</p><p>UK police who investigated disappearance of Nicola Bulley will not face action for sharing her personal information, watchdog says <a href=""https://bbc.in/44KLj9u"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">bbc.in/44KLj9u</span><span class=""invisible""></span></a></p><p>Original tweet : <a href=""https://twitter.com/BBCBreaking/status/1655918050099576834"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">twitter.com/BBCBreaking/status</span><span class=""invisible"">/1655918050099576834</span></a></p>",2023-05-09 12:52:03+00:00,[],en
"<p>'True Lies,' 'East New York' canceled after one season on CBS <a href=""https://www.upi.com/Entertainment_News/TV/2023/05/09/cbs-cancellations/8061683634041/?utm_source=dlvr.it&amp;utm_medium=mastodon"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">upi.com/Entertainment_News/TV/</span><span class=""invisible"">2023/05/09/cbs-cancellations/8061683634041/?utm_source=dlvr.it&amp;utm_medium=mastodon</span></a></p>",2023-05-09 12:52:05+00:00,[],en
"<p>Your daily <a href=""https://mastodon.social/tags/BettyPage"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BettyPage</span></a>. <a href=""https://mastodon.social/tags/BettyPagePinup"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BettyPagePinup</span></a> <a href=""https://mastodon.social/tags/BettiePage"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BettiePage</span></a> <a href=""https://mastodon.social/tags/BettyPaige"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BettyPaige</span></a> <a href=""https://mastodon.social/tags/BettiePaigePinUp"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BettiePaigePinUp</span></a> <a href=""https://mastodon.social/tags/PinUpGirls"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>PinUpGirls</span></a> <a href=""https://mastodon.social/tags/VintagePinUp"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>VintagePinUp</span></a> <a href=""https://mastodon.social/tags/PinUp"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>PinUp</span></a> <a href=""https://mastodon.social/tags/PinUpModel"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>PinUpModel</span></a> <a href=""https://mastodon.social/tags/Cheesecake"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Cheesecake</span></a></p>",2023-05-09 12:52:05+00:00,"['bettypage', 'bettypagepinup', 'bettiepage', 'bettypaige', 'bettiepaigepinup', 'pinupgirls', 'vintagepinup', 'pinup', 'pinupmodel', 'cheesecake']",en
"<p><a href=""https://mstdn.ca/tags/Bill60"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Bill60</span></a> = for-profit clinics in our public hospitals<br><a href=""https://mstdn.ca/tags/Bill60"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Bill60</span></a> was never about the wait times..</p><p>""In <a href=""https://mstdn.ca/tags/Ontario"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Ontario</span></a>, most hospital operating rooms sit empty after 3:30pm.<br>There's no need for costly new [clinic] construction, we just need staffing with nursing &amp; teams<br>Staff all Ontario's OR’s to 7:30 pm, &amp; we could complete 50% more cases. Add staffing for some weekend time, and do even more.""</p><p>…all within the current infrastructure…</p><p>Dr.Natalie Coburn, Surgical Oncologist, Sunnybrook <span class=""h-card""><a href=""https://bird.makeup/users/drncoburn"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>drncoburn</span></a></span> <br><a href=""https://mstdn.ca/tags/onpoli"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>onpoli</span></a></p>",2023-05-09 12:52:03+00:00,"['bill60', 'ontario', 'onpoli']",en
"<p>A lot of things bothering me on my body - knee, ankle, shoulder and back.</p><p>It’s amazing how things hurt when I’m stressed 😩</p>",2023-05-09 12:47:54+00:00,[],en
"<p>Italian oil firm <a href=""https://mastodon.social/tags/Eni"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Eni</span></a> faces lawsuit alleging early knowledge of climate crisis - <a href=""https://www.theguardian.com/environment/2023/may/09/italian-oil-firm-eni-lawsuit-alleging-early-knowledge-climate-crisis"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">theguardian.com/environment/20</span><span class=""invisible"">23/may/09/italian-oil-firm-eni-lawsuit-alleging-early-knowledge-climate-crisis</span></a> ""Company accused of ‘lobbying and greenwashing’ for more fossil fuels despite knowing of risks"" <a href=""https://mastodon.social/tags/italy"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>italy</span></a> <a href=""https://mastodon.social/tags/FossilFuels"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>FossilFuels</span></a></p>",2023-05-09 12:52:14+00:00,"['eni', 'italy', 'fossilfuels']",en
"<p>FAO the lovely <a href=""https://cultofshiv.wtf/tags/trans"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>trans</span></a>, <a href=""https://cultofshiv.wtf/tags/NonBinary"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>NonBinary</span></a> &amp; <a href=""https://cultofshiv.wtf/tags/GenderNonConforming"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>GenderNonConforming</span></a> folks of the <a href=""https://cultofshiv.wtf/tags/fediverse"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>fediverse</span></a>:</p><p>What were some of the moments in your lives that, looking back, were absolutely signs that you weren't cis, but which you didn't realise were signs at the time? :TransHeart: :NonBinaryHeart: :AgenderHeart: :BiGenderHeart: :GenderqueerHeart: :GenderfluidHeart: </p><p>You know, so when family members claim that <a href=""https://cultofshiv.wtf/tags/ThereWereNoSigns"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>ThereWereNoSigns</span></a>, you can just sigh &amp; shake your head 😅</p>",2023-05-09 12:52:07+00:00,"['trans', 'nonbinary', 'gendernonconforming', 'fediverse', 'therewerenosigns']",en
"<p>I'm starting to think Clarence Thomas is a centipede, what with all the shoes dropping around him.</p>",2023-05-09 12:52:19+00:00,[],en
"<p>The US Virgin Islands is asking a judge to block JPMorgan, $JPM, from arguing that the territory has “unclean hands” in suing the bank for allegedly benefiting from Jeffrey Epstein’s sex crimes, per Bloomberg. </p><p> <a href=""https://masto.ai/tags/news"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>news</span></a> <a href=""https://masto.ai/tags/finance"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>finance</span></a> <a href=""https://masto.ai/tags/economics"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>economics</span></a> <a href=""https://masto.ai/tags/stocks"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>stocks</span></a> <a href=""https://masto.ai/tags/options"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>options</span></a></p>",2023-05-09 12:52:14+00:00,"['news', 'finance', 'economics', 'stocks', 'options']",en
